scenario,policy,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
referencia,fifo,1000,148,104,96,44,8,160.19304777516453,172.3220654500008,192.6969293264311,72,0.14583333333333334,0.8544735407963149,67614.0,0.18826020002597943,165.43533517605582,0.6,171.76977950507072,0.7142857142857143,175.77143663965444,0.7333333333333333,0.45729166666666665,0.5869791666666667,0.2847222222222222,0.9794270833333333,0.6529513888888889
referencia,fifo,1001,135,103,95,32,8,164.11839332857326,171.4978788385307,197.62201427029547,68,0.84375,0.8635847283322514,72075.0,0.14533810003194958,187.874449474341,0.675,155.67973376325682,0.8108108108108109,170.29457784461215,0.7931034482758621,0.34427083333333336,0.9442708333333333,0.5243055555555556,0.9885416666666667,0.6590277777777778
referencia,fifo,1002,156,106,99,50,7,156.48926725781283,177.82372848119553,200.05649630769366,81,0.27708333333333335,0.8651466885406313,72691.0,0.1800573999644257,184.03278357700242,0.6129032258064516,163.1151948781922,0.7647058823529411,185.3596001809679,0.6486486486486487,0.4184027777777778,0.725,0.5020833333333333,0.9901041666666667,0.6600694444444445
referencia,fifo,1003,148,97,89,51,8,155.7726035996244,182.69908225259215,217.8626751819894,75,0.4666666666666667,0.8664482859399224,84760.0,0.17481890000635758,208.73919865372545,0.6,181.42894760569257,0.7288135593220338,167.20896873643304,0.6111111111111112,0.4013888888888889,0.7786458333333334,0.48819444444444443,0.99140625,0.6609375
referencia,fifo,1004,142,106,99,36,7,141.78462702284025,150.7514144175503,171.21638699300067,63,0.5166666666666667,0.8617624372178933,56771.0,0.127419899974484,144.9742204497727,0.7931034482758621,164.97934443029624,0.75,144.1066275263145,0.7246376811594203,0.3831597222222222,0.8239583333333333,0.4215277777777778,0.98671875,0.6578125
referencia,fifo,1005,154,101,94,53,7,153.74459693850736,183.5554309134728,205.44877646581068,83,0.6041666666666666,0.8628037207907192,77339.0,0.17403709999052808,177.93256160483654,0.6470588235294118,186.7167347150817,0.6666666666666666,183.98950428465508,0.6521739130434783,0.384375,0.8223958333333333,0.7208333333333333,0.9877604166666667,0.6585069444444445
referencia,fifo,1006,168,102,94,66,8,163.2429372013396,196.40985567890752,225.73176719957,93,0.8083333333333333,0.8625434218867869,90333.0,0.2389499000273645,215.78375421889214,0.6216216216216216,169.64007043896132,0.5769230769230769,204.95662259660088,0.620253164556962,0.3532986111111111,0.9151041666666667,0.5069444444444444,0.9875,0.6583333333333333
referencia,fifo,1007,149,103,96,46,7,156.8131295360917,179.85075031820486,200.6822648679231,79,0.3104166666666667,0.8531720376687826,75615.0,0.17499540001153946,181.14209390180287,0.6896551724137931,175.27626839096501,0.6923076923076923,184.5760659790457,0.6909090909090909,0.4045138888888889,0.7427083333333333,0.6673611111111111,0.978125,0.6520833333333333
referencia,fifo,1008,158,112,104,46,8,174.37181620433998,192.20541015983363,211.81818532945906,89,0.46458333333333335,0.8635846997001412,79372.0,0.22753740003099665,191.1904297897531,0.7586206896551724,185.17890110582272,0.6724137931034483,198.35994474948103,0.7183098591549296,0.41597222222222224,0.7291666666666666,0.5708333333333333,0.9885416666666667,0.6590277777777778
referencia,fifo,1009,171,108,100,63,8,161.90869138801312,187.44656993490293,215.13287283235445,88,0.46041666666666664,0.8667086184015541,87428.0,0.2462324000080116,184.35263365261096,0.59375,197.85405513707542,0.6212121212121212,179.39330880736807,0.6575342465753424,0.41302083333333334,0.7442708333333333,0.5888888888888889,0.9916666666666667,0.6611111111111111
