variant,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
dt_025,1002,156,79,71,77,8,119.19025918448516,217.1202028401699,178.40516458856536,93,0.9270833333333334,0.8660600097135711,65349.25,0.8216117999982089,133.55697712538952,0.8387096774193549,106.16911644681964,0.9803921568627451,328.59270828907603,0.04054054054054054,0.34197048611111114,0.9561197916666667,0.6678819444444445,0.991015625,0.6606770833333333
dt_025,1003,148,81,73,67,8,143.46835557338716,217.9913119823219,198.61777722280573,84,0.9354166666666667,0.8675568297826739,78233.0,0.7737802999909036,167.3463415108683,0.7714285714285715,141.88233743620106,0.8983050847457628,333.9728576253219,0.018518518518518517,0.3463541666666667,0.9459635416666666,0.6493055555555556,0.9925130208333334,0.6616753472222222
dt_025,1004,142,88,80,54,8,128.14374698383997,188.89225948797284,146.453720326334,74,0.9640625,0.8625456423816573,49050.75,0.7171556999674067,114.12939286356581,0.896551724137931,65.09866261211442,1.0,299.25517825095216,0.2608695652173913,0.33394097222222224,0.9731770833333333,0.48333333333333334,0.9875,0.6583333333333333
dt_025,1005,154,81,73,73,8,115.41991203708184,216.53432701736887,185.5039407850595,94,0.909375,0.8637821454160503,69735.25,0.8266339999972843,150.5134439577777,0.7352941176470589,106.38340138174837,1.0,330.48225790784346,0.07246376811594203,0.3486545138888889,0.9315104166666667,0.7814236111111111,0.9887369791666667,0.6591579861111111
dt_025,1006,168,80,72,88,8,113.54718517932395,228.1702723455742,207.44456807484352,106,0.946875,0.8632615307543045,83824.75,0.9175112000084482,198.0540244891624,0.6756756756756757,85.66891659280746,1.0,336.07371120419583,0.0379746835443038,0.336328125,0.9674479166666666,0.5536458333333333,0.9882161458333333,0.6588107638888889
dt_025,1007,149,83,75,66,8,132.89892421924986,206.15611944572163,189.28721769811176,87,0.93125,0.8536300223033841,71390.0,0.8033043999457732,139.40071459145804,0.896551724137931,157.74934531404196,0.7692307692307693,298.5624296154093,0.12727272727272726,0.33407118055555557,0.9549479166666667,0.8380208333333333,0.9785807291666667,0.6523871527777778
dt_025,1008,158,84,76,74,8,132.34742390363112,227.44116965350452,187.58011850368342,99,0.9302083333333333,0.8641075524902223,71044.75,0.9257194999954663,139.69042978975313,0.9655172413793104,128.49355627823653,0.9137931034482759,344.1134658762416,0.04225352112676056,0.33828125,0.96328125,0.659375,0.9890625,0.659375
dt_025,1009,171,82,74,89,8,132.50114798947567,224.07814888227134,194.39961149326157,102,0.9401041666666666,0.8678171646783743,79088.0,0.9600169999757782,138.25888365261096,0.8125,141.72905513707542,0.803030303030303,336.1501581224366,0.0410958904109589,0.3374565972222222,0.9731770833333333,0.7918402777777778,0.9927734375,0.6618489583333333
dt_025,1010,167,80,72,87,8,133.45077935914273,222.88462317549033,209.37661043831622,105,0.9244791666666666,0.8589663778773056,85573.0,0.9319098999840207,171.36735603417907,0.6486486486486487,143.99621334915494,0.8448275862068966,312.9077711498788,0.09722222222222222,0.3435329861111111,0.9372395833333333,0.7477430555555555,0.9839192708333333,0.6559461805555555
dt_025,1011,154,82,74,72,8,125.84075678057054,213.89678638316394,181.93447445067565,91,0.9364583333333333,0.8646932933287242,67348.75,0.8938401999766938,147.72421704093077,0.9285714285714286,116.74159309271879,0.9322033898305084,327.10556766254894,0.014925373134328358,0.3404079861111111,0.9580729166666667,0.8142361111111112,0.9896484375,0.659765625
dt_025,1012,146,86,78,60,8,128.63039123143471,192.34559437221216,153.17525596896553,82,0.9078125,0.8635218843266427,54250.5,0.7513756999978796,120.72908433437354,0.7714285714285715,59.212588866402626,0.9767441860465116,313.3940809615381,0.25,0.3353732638888889,0.9708333333333333,0.5026041666666666,0.9884765625,0.658984375
dt_025,1013,155,82,74,73,8,135.0470701546266,215.19404176653592,184.79934549466313,91,0.9270833333333334,0.8622202062057251,70531.75,0.8874160000123084,133.86846167835043,0.8125,136.33178936078167,0.896551724137931,325.60064487970027,0.06153846153846154,0.3389756944444444,0.957421875,0.6201388888888889,0.9871744791666667,0.6581163194444445
dt_025,1014,165,85,77,80,8,118.39791327333698,193.93867192255362,177.6588666169809,90,0.9291666666666667,0.8645631404388912,72098.75,0.9030442000366747,134.28522251568458,0.7027027027027027,127.64183564465029,0.85,284.8943749332647,0.11764705882352941,0.3423611111111111,0.951953125,0.5987847222222222,0.9895182291666667,0.6596788194444444
